trip_date,trip_count
2016-01-01,345036
2016-01-02,312830
2016-01-03,302878
2016-01-04,316008
2016-01-05,343128
2016-01-06,348384
2016-01-07,364764
2016-01-08,391961
2016-01-09,405767
2016-01-10,351748
2016-01-11,342649
2016-01-12,367390
2016-01-13,395090
2016-01-14,396472
2016-01-15,401289
2016-01-16,411899
2016-01-17,379156
2016-01-18,341481
2016-01-19,385186
2016-01-20,382105
2016-01-21,399653
2016-01-22,420162
2016-01-23,78133
2016-01-24,159766
2016-01-25,281953
2016-01-26,327502
2016-01-27,358986
2016-01-28,383192
2016-01-29,413868
2016-01-30,435231
2016-01-31,361400
2016-02-01,341034
2016-02-02,362900
2016-02-03,371808
2016-02-04,394475
2016-02-05,409211
2016-02-06,428301
2016-02-07,373118
2016-02-08,342880
2016-02-09,367712
2016-02-10,393112
2016-02-11,430922
2016-02-12,434042
2016-02-13,448500
2016-02-14,402370
2016-02-15,350101
2016-02-16,363558
2016-02-17,386687
2016-02-18,410438
2016-02-19,420518
2016-02-20,424630
2016-02-21,372027
2016-02-22,346420
2016-02-23,395521
2016-02-24,399771
2016-02-25,413380
2016-02-26,437497
2016-02-27,440794
2016-02-28,366136
2016-02-29,347548
2016-03-01,372581
2016-03-02,406943
2016-03-03,427836
2016-03-04,433873
2016-03-05,451068
2016-03-06,384985
2016-03-07,348362
2016-03-08,372636
2016-03-09,384276
2016-03-10,406323
2016-03-11,425022
2016-03-12,441937
2016-03-13,366741
2016-03-14,383635
2016-03-15,383015
2016-03-16,397851
2016-03-17,399438
2016-03-18,436509
2016-03-19,442036
2016-03-20,389552
2016-03-21,344081
2016-03-22,366497
2016-03-23,381525
2016-03-24,406739
2016-03-25,399500
2016-03-26,403777
2016-03-27,345466
2016-03-28,344392
2016-03-29,378105
2016-03-30,385286
2016-03-31,393836
2016-04-01,411522
2016-04-02,444767
2016-04-03,392212
2016-04-04,374701
2016-04-05,399543
2016-04-06,400644
2016-04-07,409439
2016-04-08,440190
2016-04-09,456857
